"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
2.897916722E0,-4.713481665E-2,5.890588760E-1,4.517250061E-1
2.907916722E0,-1.200830340E-1,1.772451401E-1,1.336097717E-2
2.917917155E0,-2.298836112E-1,2.492184639E-1,-2.278232574E-2
2.927917855E0,-1.211800575E-1,4.341669083E-1,3.534460068E-2
2.937917821E0,1.787036657E-2,3.223867416E-1,1.779518127E-1
2.947918454E0,-5.763912201E-2,3.236150742E-2,3.231706619E-1
2.957919354E0,-2.667483687E-1,-5.882263184E-3,2.387838364E-1
2.967920254E0,-4.128470421E-1,1.345500946E-1,1.456170082E-1
2.977920187E0,-3.368353844E-1,2.007622719E-1,2.049083710E-1
2.987920887E0,-7.985913754E-2,2.364783287E-1,3.187294006E-1
2.997921587E0,-4.101818800E-2,3.223876953E-1,3.828196526E-1
3.007921587E0,-1.770790219E-1,4.987282753E-1,4.049973488E-1
3.017921520E0,-2.555214167E-1,5.353293419E-1,4.213528633E-1
3.027921453E0,-1.660224199E-1,3.885965347E-1,4.199500084E-1
3.037921486E0,-1.026987433E-1,7.713699341E-2,5.232348442E-1
3.047921486E0,-2.677222490E-1,-2.195839882E-1,6.452217102E-1
3.057921452E0,-2.688314915E-1,-2.133703232E-1,6.369810104E-1
3.067921485E0,-6.300410628E-1,-1.423439980E-1,5.138988495E-1
3.077921518E0,-6.353756785E-1,1.602363586E-2,4.255328178E-1
3.087921518E0,-6.448794603E-1,1.832342148E-2,4.213404655E-1
3.097921484E0,-3.148455024E-1,-4.165029526E-2,3.261570930E-1
3.107921517E0,2.130513191E-1,-9.229073524E-1,-2.451653481E-1
3.117921550E0,2.076536417E-1,-9.206690788E-1,-2.487254143E-1
3.127921483E0,-1.444637179E-1,-6.904978752E-1,-8.367476463E-1
3.137921449E0,-1.452840567E-1,-6.861333847E-1,-8.424768448E-1
3.153544652E0,-9.655702114E-2,-8.363866806E-2,-3.149275780E-1
3.163544618E0,-1.520087719E-1,-3.229713440E-2,-7.695865631E-2
3.173544618E0,-2.731488347E-1,-5.232334137E-3,6.349468231E-2
3.183544584E0,-2.687689662E-1,3.294944763E-3,5.314064026E-2
3.193544550E0,-1.355688572E-1,-3.180761337E-1,2.363395691E-2
3.203544583E0,-1.343079805E-1,-3.125777245E-1,1.680850983E-2
3.213544549E0,-1.226711869E-1,-4.209423065E-1,3.752088547E-2
3.223544515E0,-1.290216446E-1,-4.184675217E-1,3.362274170E-2
3.233544481E0,-1.834396124E-1,-1.090321541E-1,1.743984222E-2
3.243544514E0,1.157808304E-1,2.377495766E-1,1.559920311E-1
3.253544547E0,3.110122383E-1,-1.196432114E-2,3.266410828E-1
3.263544513E0,3.022256196E-1,-4.107246399E-1,3.454613686E-1
3.273544546E0,-8.895754814E-3,-6.525974274E-1,1.556701660E-1
3.283544579E0,-2.445608974E-1,-5.599241257E-1,-6.377458572E-2
3.293544545E0,-2.453643084E-1,-2.683196068E-1,-2.158746719E-1
3.303544511E0,-2.641329765E-1,-2.863459587E-1,-1.945266724E-1
3.313544511E0,1.180473566E-1,1.988420486E-1,-4.176807404E-2
3.323544544E0,1.019654870E-1,1.819968224E-1,-2.134466171E-2
3.333544577E0,3.754403591E-1,-4.533386230E-2,-1.181163788E-1
3.343544543E0,3.637986183E-1,-6.227636337E-2,-9.680557251E-2
3.353544576E0,3.532129526E-2,-2.066059113E-1,-3.091764450E-1
3.363544609E0,-1.442313790E-1,4.344987869E-2,-2.331609726E-1
3.373544575E0,-1.265005469E-1,3.358659744E-1,-9.385967255E-2
3.383544541E0,-1.416507959E-1,3.161091805E-1,-6.841182709E-2
3.393544574E0,-6.365144253E-2,4.843292236E-1,3.024959564E-2
3.403544607E0,1.034412086E-1,3.641147614E-1,2.504253387E-2
3.413544540E0,2.281494141E-1,1.350975037E-2,-9.307861328E-4
3.423544540E0,1.920959651E-1,-8.559703827E-3,2.724170685E-2
3.433544573E0,-3.891035914E-2,2.313232422E-2,-1.709346771E-1
3.443544573E0,-2.127472162E-1,1.401185989E-1,-2.200851440E-1
