"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.481030584E0,-5.650503561E-3,-1.231657043E-1,-4.375322163E-2
2.491030584E0,-1.542434748E-2,-1.408807933E-1,-3.703370690E-2
2.501030550E0,-3.252857551E-2,-1.256091595E-1,-5.108360574E-2
2.511030550E0,-5.085453019E-2,-1.048397496E-1,-6.635523587E-2
2.521030550E0,-7.956519723E-2,-8.407033235E-2,-7.612907887E-2
2.531030583E0,-1.070541367E-1,-6.085744873E-2,-6.574437022E-2
2.541030549E0,-1.217148975E-1,-2.359467000E-2,-5.413793400E-2
2.551030549E0,-1.253800988E-1,8.399396902E-4,-3.520110995E-2
2.561030582E0,-1.107193232E-1,4.360050708E-2,-1.603521290E-3
2.571030582E0,-8.628471941E-2,8.513934165E-2,2.344195358E-2
2.581030615E0,-5.513058975E-2,1.236238554E-1,4.237877578E-2
2.591030581E0,-1.603521220E-2,1.657735556E-1,6.864598393E-2
2.601030614E0,-1.374446787E-3,1.731039435E-1,7.597636431E-2
2.611030647E0,5.955935922E-3,1.651626974E-1,7.536549866E-2
2.621030247E0,7.177666761E-3,1.309542358E-1,7.353290170E-2
2.631029547E0,1.679879380E-3,9.185886383E-2,7.292203605E-2
2.641029580E0,-1.420261711E-2,6.986771524E-2,6.681338698E-2
2.651028946E0,-3.985895589E-2,5.459608138E-2,5.765040591E-2
2.661028012E0,-6.001751125E-2,2.893974073E-2,3.565925732E-2
2.671027112E0,-6.979135424E-2,1.366810966E-2,2.672535367E-3
2.681027178E0,-7.590000331E-2,3.077233583E-2,-1.992947794E-2
2.691026511E0,-8.567385375E-2,5.459608138E-2,-6.490443368E-3
2.701025811E0,-9.300423414E-2,7.292203605E-2,2.527454868E-2
2.711025811E0,-9.544769675E-2,7.292203605E-2,4.115704447E-2
2.721025877E0,-8.139779419E-2,6.742425263E-2,3.382666409E-2
2.731025943E0,-6.185010448E-2,6.620252132E-2,2.672535367E-3
2.741025909E0,-4.841107130E-2,7.170030475E-2,-4.253149405E-2
2.751025875E0,-5.513058975E-2,7.047858089E-2,-8.101600409E-2
2.761025908E0,-8.689557761E-2,3.810271993E-2,-1.011745557E-1
2.771025841E0,-1.687515229E-1,-3.436116967E-3,-9.262244403E-2
2.781025807E0,-2.139555514E-1,1.450804994E-3,-1.042288840E-1
2.791025773E0,-2.383901626E-1,-1.198823005E-2,-1.347721517E-1
2.801025806E0,-2.487748712E-1,-5.841398984E-2,-1.647045463E-1
2.811025839E0,-2.652682364E-1,-1.353830099E-1,-1.989129931E-1
2.821025805E0,-2.695443034E-1,-2.086868435E-1,-2.300671190E-1
2.831025838E0,-2.707660198E-1,-2.282345295E-1,-2.483930737E-1
2.841025871E0,-2.817615867E-1,-1.866956949E-1,-2.532800138E-1
2.851025837E0,-2.952006161E-1,-1.262200326E-1,-2.325105816E-1
2.861025837E0,-2.732094824E-1,-3.214678168E-2,-1.738675237E-1
