"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
6.347972748E2,5.234687928E1,4.873674842E0,4.042920432E0,4.711910992E0,2.734043773E2,4.742032279E0,3.367145214E0
6.357972738E2,5.234687999E1,4.873605568E0,3.919921013E0,4.722197500E0,2.727952637E2,4.741641833E0,3.367695022E0
6.367972726E2,5.234687716E1,4.873535556E0,3.824767475E0,4.730032271E0,2.704942957E2,4.741714466E0,3.367592753E0
6.377972715E2,5.234687410E1,4.873468956E0,3.703609548E0,4.635283716E0,2.685305038E2,4.741814846E0,3.367451410E0
6.387972711E2,5.234686911E1,4.873401622E0,3.629009577E0,4.602790096E0,2.660489357E2,4.741878627E0,3.367361596E0
6.397972696E2,5.234686430E1,4.873335444E0,3.556546102E0,4.595531680E0,2.653746526E2,4.742048335E0,3.367122603E0
6.407972689E2,5.234686161E1,4.873268716E0,3.542053212E0,4.561158891E0,2.660271727E2,4.741993047E0,3.367200465E0
6.417972683E2,5.234685888E1,4.873201544E0,3.579903462E0,4.555118714E0,2.665776986E2,4.742266674E0,3.366815086E0
6.427972668E2,5.234685721E1,4.873136820E0,3.446037073E0,4.497801859E0,2.672154520E2,4.742050610E0,3.367119399E0
6.437972668E2,5.234685463E1,4.873071735E0,3.371770944E0,4.503228498E0,2.667947552E2,4.742150755E0,3.366978355E0
6.447972646E2,5.234685087E1,4.873006821E0,3.450978697E0,4.482505883E0,2.650632450E2,4.741857842E0,3.367390865E0
6.457972645E2,5.234685120E1,4.872933963E0,3.162447152E0,4.799246544E0,2.694513405E2,4.741916972E0,3.367307599E0
6.467972461E2,5.234684498E1,4.872866459E0,3.450778027E0,4.710871934E0,2.657380342E2,4.742228231E0,3.366869234E0
6.477972416E2,5.234684357E1,4.872799513E0,3.242162614E0,4.649305161E0,2.672236667E2,4.742478763E0,3.366516332E0
6.487972403E2,5.234684079E1,4.872722197E0,3.068619801E0,4.989329007E0,2.670379286E2,4.742472460E0,3.366525211E0
6.497972356E2,5.234683699E1,4.872648270E0,3.114058812E0,5.023944466E0,2.659221588E2,4.742840490E0,3.366006702E0
6.507972325E2,5.234682884E1,4.872577473E0,3.400728649E0,4.935597666E0,2.623925135E2,4.742772493E0,3.366102510E0
6.517972323E2,5.234682626E1,4.872505611E0,3.402069591E0,4.888246078E0,2.651796626E2,4.742518785E0,3.366459951E0
6.527972305E2,5.234682284E1,4.872439972E0,3.469407406E0,4.628136255E0,2.655422350E2,4.742440774E0,3.366569847E0
