"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.077293060E-1,1.620874524E0,6.347328186E0,8.198045731E0
4.097302060E-1,1.620874524E0,6.323386192E0,8.231564522E0
4.117311060E-1,1.606509328E0,6.309020519E0,8.262689590E0
4.137318390E-1,1.582567334E0,6.299443722E0,8.284236908E0
4.157325050E-1,1.556231141E0,6.294655323E0,8.298602104E0
4.177325380E-1,1.520318031E0,6.294655323E0,8.300996780E0
4.197325710E-1,1.484405041E0,6.304232121E0,8.286631584E0
4.217325710E-1,1.448492050E0,6.316203594E0,8.267477989E0
4.237325370E-1,1.333570361E0,6.347328186E0,8.142979622E0
4.257316370E-1,1.230619669E0,6.378452778E0,8.032846451E0
4.277307370E-1,1.142034173E0,6.409577370E0,7.932289600E0
4.297298370E-1,1.072602391E0,6.433519363E0,7.853281021E0
4.317289370E-1,1.017535686E0,6.452672958E0,7.788637638E0
4.337280030E-1,9.648633003E-1,6.471826553E0,7.726387978E0
4.357273030E-1,9.241618514E-1,6.486191750E0,7.676109791E0
4.377273360E-1,8.810662031E-1,6.502951145E0,7.623437405E0
4.397277690E-1,8.307880163E-1,6.519710541E0,7.570765018E0
4.417278020E-1,7.852981687E-1,6.536469936E0,7.513304234E0
4.437278020E-1,7.398083210E-1,6.548440933E0,7.455843449E0
4.457278020E-1,6.919242740E-1,6.560411930E0,7.393594265E0
4.477278020E-1,6.488286853E-1,6.569988728E0,7.338527679E0
4.497278020E-1,6.081272364E-1,6.579565525E0,7.285854816E0
4.517278020E-1,5.674257874E-1,6.584353924E0,7.228394032E0
4.537276020E-1,5.243301988E-1,6.586748123E0,7.173327446E0
4.557272680E-1,4.836287498E-1,6.586748123E0,7.127837658E0
4.577271250E-1,4.477157295E-1,6.579565525E0,7.087136269E0
4.597270000E-1,4.165911078E-1,6.572382927E0,7.051223278E0
4.617268880E-1,3.854664862E-1,6.560411930E0,7.020098686E0
4.637267880E-1,3.926490843E-1,6.483797550E0,6.991368294E0
4.657243330E-1,3.998316824E-1,6.414365768E0,6.969820499E0
4.677220830E-1,4.070142806E-1,6.359299183E0,6.953061104E0
4.697200060E-1,4.141969085E-1,6.304232121E0,6.943484306E0
4.717180770E-1,4.237737060E-1,6.249165535E0,6.941090107E0
4.737162770E-1,4.309563041E-1,6.206069946E0,6.938695908E0
4.757145890E-1,4.381389022E-1,6.172551155E0,6.936301708E0
4.777145300E-1,4.548983276E-1,6.129455566E0,6.943484306E0
4.797144740E-1,4.692635238E-1,6.086359978E0,6.955455303E0
4.817144210E-1,4.764461517E-1,6.045658588E0,6.977003098E0
4.837143210E-1,4.788403511E-1,6.009745598E0,7.005733490E0
4.857142730E-1,4.788403511E-1,5.978621006E0,7.032069683E0
4.877142730E-1,4.812345505E-1,5.952284813E0,7.065588474E0
4.897142730E-1,4.812345505E-1,5.935525417E0,7.103895664E0
4.917142730E-1,4.812345505E-1,5.923554420E0,7.142202854E0
4.937142730E-1,4.812345505E-1,5.923554420E0,7.194875240E0
4.957142730E-1,4.812345505E-1,5.923554420E0,7.245153427E0
4.977142730E-1,4.788403511E-1,5.928342819E0,7.293037415E0
4.997142730E-1,4.740519226E-1,5.937919617E0,7.348104477E0
5.017142380E-1,4.716577232E-1,5.949890614E0,7.405565262E0
5.037142040E-1,5.123591423E-1,6.024110794E0,7.482179642E0
5.057133040E-1,5.554547906E-1,6.093542576E0,7.542034626E0
5.077124040E-1,5.889736414E-1,6.148609161E0,7.589918613E0
5.097115040E-1,6.224924326E-1,6.203675747E0,7.625831604E0
5.117106040E-1,6.584054828E-1,6.256348133E0,7.652167797E0
5.137100370E-1,6.871358752E-1,6.297049522E0,7.673715591E0
5.157091700E-1,7.110779285E-1,6.330568790E0,7.690474987E0
5.177092030E-1,7.398083210E-1,6.366481781E0,7.702445984E0
5.197092360E-1,7.805097699E-1,6.409577370E0,7.702445984E0
5.217092690E-1,8.283938169E-1,6.452672958E0,7.695263386E0
5.237089020E-1,8.786720037E-1,6.490980148E0,7.690474987E0
5.257097680E-1,9.217676520E-1,6.522104740E0,7.692869186E0
5.277106680E-1,9.624691010E-1,6.543652534E0,7.707234383E0
5.297115680E-1,9.959878922E-1,6.558017731E0,7.723993778E0
5.317124340E-1,1.019929886E0,6.567594528E0,7.740753174E0
5.337133000E-1,1.034295082E0,6.572382927E0,7.759906769E0
5.357141660E-1,1.036689281E0,6.569988728E0,7.783848763E0
5.377141660E-1,1.036689281E0,6.565200329E0,7.805397034E0
5.397136320E-1,1.036689281E0,6.555623531E0,7.822156429E0
5.417136320E-1,1.039083481E0,6.546046734E0,7.831733227E0
5.437136650E-1,1.003170490E0,6.543652534E0,7.812579632E0
5.457127980E-1,9.600749016E-1,6.538864136E0,7.805397034E0
5.477118980E-1,9.074024558E-1,6.529287338E0,7.807791233E0
5.497109980E-1,8.643068075E-1,6.522104740E0,7.807791233E0
5.517100980E-1,8.092401624E-1,6.505345345E0,7.817368031E0
5.537091640E-1,7.661445141E-1,6.490980148E0,7.824550629E0
5.557084640E-1,7.326257229E-1,6.481403351E0,7.829339027E0
5.577084300E-1,6.799532771E-1,6.459855556E0,7.838915825E0
5.597083960E-1,5.817909837E-1,6.414365768E0,7.862857819E0
5.617083960E-1,4.453215301E-1,6.364087582E0,7.886799812E0
5.637093960E-1,2.849099934E-1,6.277895927E0,7.932289600E0
5.657093960E-1,1.340752989E-1,6.196493149E0,7.980173588E0
5.677093960E-1,-2.873042040E-2,6.105513573E0,8.037634850E0
5.697093960E-1,-1.771709323E-1,6.016928196E0,8.095095634E0
5.717093960E-1,-3.232172430E-1,5.923554420E0,8.159738541E0
5.737093960E-1,-4.572925270E-1,5.834969044E0,8.217199326E0
5.757092290E-1,-5.746083856E-1,5.758354187E0,8.257901192E0
5.777062290E-1,-6.871358752E-1,5.688922405E0,8.269871712E0
5.797061040E-1,-7.948749661E-1,5.645826817E0,8.253112793E0
5.817059920E-1,-8.858546019E-1,5.619490623E0,8.229170799E0
5.837058920E-1,-7.589619160E-1,5.772719383E0,8.013691902E0
5.857033460E-1,-6.560112834E-1,5.916371822E0,7.824550629E0
5.877010120E-1,-5.434837937E-1,6.050446987E0,7.654561996E0
5.896988580E-1,-4.237737060E-1,6.172551155E0,7.506121635E0
5.916968580E-1,-3.280056417E-1,6.270713329E0,7.386411667E0
5.936949910E-1,-2.513911724E-1,6.349722385E0,7.290643215E0
5.956933030E-1,-1.891419291E-1,6.411971569E0,7.214028835E0
5.976930080E-1,-1.101332754E-1,6.474220753E0,7.142202854E0
5.996921740E-1,-9.576806799E-3,6.536469936E0,7.070376873E0
6.016913840E-1,8.858546615E-2,6.610690117E0,7.008127689E0
6.036913840E-1,2.202665508E-1,6.699275494E0,6.955455303E0
6.056913840E-1,3.519476354E-1,6.780678272E0,6.912359715E0
6.076933840E-1,5.051765442E-1,6.857293129E0,6.883629322E0
6.096930500E-1,6.703764796E-1,6.931513309E0,6.852504730E0
6.116953000E-1,8.643068075E-1,7.000945091E0,6.807014942E0
6.136951000E-1,1.110909581E0,7.053617477E0,6.768707275E0
6.156949330E-1,1.347935557E0,7.094318867E0,6.737582684E0
6.176947900E-1,1.599326730E0,7.120655060E0,6.713640690E0
6.196970400E-1,1.821987510E0,7.139808655E0,6.692092896E0
6.216969280E-1,2.020706177E0,7.156568050E0,6.677727699E0
6.236968280E-1,2.068590164E0,7.156568050E0,6.773495674E0
6.256957370E-1,2.082955360E0,7.149385452E0,6.857293129E0
6.276947370E-1,2.092532396E0,7.144597054E0,6.924330711E0
6.296938130E-1,2.075772762E0,7.132626057E0,6.986579895E0
6.316929550E-1,2.035071373E0,7.113472462E0,7.044040680E0
6.336920880E-1,2.001552582E0,7.099107265E0,7.089530468E0
6.356912750E-1,1.975216389E0,7.087136269E0,7.125443459E0
6.376912160E-1,1.896207690E0,7.065588474E0,7.168539047E0
6.396917160E-1,1.807622313E0,7.041646481E0,7.209240437E0
6.416917160E-1,1.685518026E0,7.010521889E0,7.245153427E0
6.436917160E-1,1.539471745E0,6.974608898E0,7.266701221E0
