"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.080487083E0,2.462043241E-3,-8.233698249E-2,3.757543570E-1
2.090440083E0,4.382042281E-2,-2.555905670E-2,1.115274525E-1
2.100394083E0,2.257156804E-2,6.924565136E-2,-1.571146846E-1
2.110347083E0,-1.587241307E-2,1.515501818E-1,-3.580659449E-1
2.120301083E0,-8.181840755E-2,1.885431764E-1,-4.305041760E-1
2.130254083E0,-1.489345030E-1,1.462897342E-1,-3.437268180E-1
2.140208083E0,-1.553586926E-1,6.351333350E-2,-1.178406912E-1
2.150162083E0,-1.493161800E-1,-7.244261652E-2,1.417271519E-1
2.160115083E0,-1.289992983E-1,-1.868697032E-1,2.697238719E-1
2.170069083E0,-3.136819236E-2,-1.902645966E-1,2.805441445E-1
2.180022083E0,8.777818210E-2,-1.347195563E-1,1.875909573E-1
2.189976083E0,1.292279244E-1,-8.605931997E-2,4.385937989E-2
2.199929083E0,1.110840873E-1,-2.719306111E-2,-1.365050036E-1
2.209883083E0,1.567126885E-2,3.789288104E-3,-1.846123856E-1
2.219836083E0,-4.054861329E-2,2.398615569E-2,-1.320336378E-1
2.229790083E0,-1.021639406E-1,-7.582084537E-3,-3.252806067E-3
2.239744083E0,-1.365885457E-1,-4.056681275E-2,1.769320679E-1
2.249697083E0,-9.297759935E-2,-4.833980888E-2,3.104707789E-1
2.259651083E0,-9.106965289E-3,-1.594564945E-2,3.193550384E-1
2.269604083E0,7.632494844E-2,1.793838054E-2,1.661012703E-1
2.279558083E0,1.409371199E-1,5.800408691E-2,7.406668067E-3
2.289511083E0,1.541123586E-1,1.051203659E-1,-1.704638779E-1
2.299465083E0,8.631403930E-2,1.070017076E-1,-2.520646960E-1
2.309418083E0,2.581392221E-2,1.315144050E-1,-2.709254748E-1
2.319372083E0,-3.059986822E-2,1.510458595E-1,-1.831026345E-1
2.329325083E0,-7.181462556E-2,1.370505488E-1,-7.718850911E-2
2.339279083E0,-1.241999037E-1,6.783881128E-2,6.049353898E-2
2.349233083E0,-1.357961018E-1,-2.773480564E-2,2.271152115E-1
2.359186083E0,-9.248869903E-2,-7.952944189E-2,3.419188589E-1
2.369140083E0,1.039517999E-2,-1.260943285E-1,3.422983432E-1
2.379093083E0,9.030052476E-2,-1.293512276E-1,2.021721590E-1
2.389047083E0,1.137827235E-1,-1.640769643E-1,-5.752549231E-2
2.399000083E0,1.136768159E-1,-8.511207104E-3,-2.252411789E-1
2.408954083E0,-9.185244888E-3,3.281165063E-2,-1.864560127E-1
2.418907083E0,-2.185935525E-1,-2.816866904E-2,-1.218992436E-1
2.428861083E0,-3.180501591E-1,4.144360274E-2,6.522802949E-2
2.438815083E0,-3.423283833E-1,2.716031671E-2,2.544503599E-1
2.448768083E0,-3.249997942E-1,-4.151523113E-4,3.848140329E-1
2.458722083E0,-2.962594137E-1,2.669809431E-2,3.652141660E-1
2.468675083E0,-1.828763473E-1,4.467652828E-2,2.064686930E-1
2.478629083E0,-6.853879608E-2,5.666916758E-2,-4.278992414E-3
2.488582083E0,-7.195503183E-2,7.168832570E-2,-1.107860255E-1
2.498536083E0,1.116993606E-2,1.969298378E-1,-1.735301578E-1
2.508489083E0,1.418957710E-1,1.916769916E-1,-1.909034050E-1
2.518443083E0,4.912297033E-2,5.505095065E-2,-4.720632613E-2
2.528396083E0,-3.001485430E-2,-1.623362482E-2,2.018891537E-1
2.538350083E0,9.337089770E-2,2.870281219E-2,3.997004592E-1
2.548304083E0,3.922641166E-2,2.363064498E-2,2.812399632E-1
2.558257083E0,-4.897554740E-2,-2.540995270E-2,2.624160218E-1
2.568211083E0,-2.528460301E-2,4.154972970E-2,8.283282638E-2
2.578164083E0,4.100853335E-2,1.195407692E-1,-1.969517648E-2
2.588118083E0,8.638596006E-2,1.339269662E-1,-1.553383005E-1
2.598071083E0,1.792914194E-1,2.292178702E-1,-1.339924550E-1
2.608025083E0,1.830145243E-1,2.615637901E-1,-3.117723691E-1
2.617978083E0,8.177659996E-3,1.212177506E-1,-4.495707768E-1
2.627932083E0,-1.057784335E-1,2.438990593E-2,-5.138825476E-1
2.637885083E0,-1.437033280E-1,-3.617496908E-2,-5.098391980E-1
2.647839083E0,-1.382204305E-1,-6.814783663E-2,-3.705912656E-1
2.657793083E0,-1.039200787E-1,-1.030314481E-1,-2.695864624E-1
2.667746083E0,-1.082322906E-1,-1.182766011E-1,-2.110757142E-1
