"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.099622000E0,-2.469863892E-1,2.173779602E0,9.552535400E0
3.109576000E0,-2.513273621E-1,2.168839874E0,9.549990692E0
3.119530000E0,-2.314187622E-1,2.168989563E0,9.553134155E0
3.129483000E0,-2.125579834E-1,2.145338745E0,9.571845245E0
3.139437000E0,-2.002835083E-1,2.149679718E0,9.589508514E0
3.149391000E0,-1.736389160E-1,2.126178589E0,9.607022095E0
3.159344000E0,-1.589694214E-1,2.126777344E0,9.589209137E0
3.169298000E0,-1.451980591E-1,2.124082947E0,9.579179993E0
3.179252000E0,-1.487905884E-1,2.148931274E0,9.595645752E0
3.189205000E0,-1.678010559E-1,2.175276489E0,9.589358826E0
3.199159000E0,-1.556762695E-1,2.188000031E0,9.519603882E0
3.209113000E0,-1.850152588E-1,2.193388824E0,9.473200378E0
3.219066000E0,-1.836680603E-1,2.202519836E0,9.469607849E0
3.229020000E0,-1.564247131E-1,2.211950226E0,9.453740845E0
3.238974000E0,-1.345701599E-1,2.182910614E0,9.471703491E0
3.248927000E0,-1.356179810E-1,2.144889679E0,9.542655945E0
3.258881000E0,-1.465452576E-1,2.150877228E0,9.603429565E0
3.268835000E0,-1.716929626E-1,2.132615204E0,9.622889099E0
3.278788000E0,-1.817221069E-1,2.126627655E0,9.622290344E0
3.288742000E0,-1.980381775E-1,2.136656799E0,9.614356842E0
3.298696000E0,-1.998344421E-1,2.176024933E0,9.578431549E0
3.308649000E0,-2.053729248E-1,2.225871277E0,9.543703766E0
3.318603000E0,-1.980381775E-1,2.221679993E0,9.501192169E0
3.328557000E0,-2.136058044E-1,2.242636414E0,9.485474854E0
3.338510000E0,-2.095642090E-1,2.247875519E0,9.492959290E0
3.348464000E0,-2.040257263E-1,2.243684235E0,9.510472870E0
3.358418000E0,-1.905537415E-1,2.210453339E0,9.582473145E0
3.368371000E0,-1.865121460E-1,2.178869019E0,9.602980499E0
3.378325000E0,-1.910028076E-1,2.148332520E0,9.617350616E0
3.388278000E0,-1.969903564E-1,2.130818939E0,9.580676880E0
3.398232000E0,-1.933978271E-1,2.140997772E0,9.568252716E0
3.408186000E0,-1.706451416E-1,2.160307617E0,9.573641510E0
3.418139000E0,-1.856140137E-1,2.180216217E0,9.530830536E0
3.428093000E0,-1.790277100E-1,2.207908630E0,9.540410614E0
3.438047000E0,-2.079176331E-1,2.223326569E0,9.533674622E0
3.448000000E0,-2.098635864E-1,2.229613495E0,9.519304504E0
3.457954000E0,-2.022294617E-1,2.222578125E0,9.526190186E0
3.467908000E0,-1.707948303E-1,2.190245361E0,9.547595673E0
3.477861000E0,-1.393601990E-1,2.195484467E0,9.567803650E0
3.487815000E0,-1.092727661E-1,2.183958435E0,9.551337891E0
3.497769000E0,-9.205856323E-2,2.185904388E0,9.546098785E0
3.507722000E0,-1.146615601E-1,2.189796295E0,9.579629059E0
3.517676000E0,-1.622625732E-1,2.186952209E0,9.584868164E0
3.527630000E0,-1.502874756E-1,2.156266022E0,9.574689331E0
3.537583000E0,-1.546284485E-1,2.167342987E0,9.549541626E0
3.547537000E0,-1.688488770E-1,2.181413727E0,9.546547852E0
3.557491000E0,-1.847158813E-1,2.188898163E0,9.544901276E0
3.567444000E0,-1.935475159E-1,2.191742249E0,9.510772247E0
3.577398000E0,-1.805245972E-1,2.186503143E0,9.494605865E0
3.587352000E0,-1.989363098E-1,2.195634155E0,9.517358551E0
3.597305000E0,-1.999841309E-1,2.180216217E0,9.557924194E0
3.607259000E0,-2.031275940E-1,2.178869019E0,9.621541901E0
3.617213000E0,-2.242337036E-1,2.167492676E0,9.613458710E0
3.627166000E0,-2.079176331E-1,2.178120575E0,9.602830811E0
3.637120000E0,-2.092648315E-1,2.179168396E0,9.586514740E0
3.647074000E0,-1.965412903E-1,2.180066528E0,9.544452209E0
3.657027000E0,-1.889071655E-1,2.195035400E0,9.490863647E0
