"Time (s)","X (hPa)"
4.924269500E2,1.026771622E3
4.934616940E2,1.026771393E3
4.944964350E2,1.026771393E3
4.955311900E2,1.026770554E3
4.965659560E2,1.026770096E3
4.976007280E2,1.026769333E3
4.986355070E2,1.026768723E3
4.996703230E2,1.026768723E3
5.007051170E2,1.026769562E3
5.017399160E2,1.026770096E3
5.027746840E2,1.026772308E3
5.038094680E2,1.026775894E3
5.048442390E2,1.026776123E3
5.058790010E2,1.026776123E3
5.069137450E2,1.026775894E3
5.079484950E2,1.026774216E3
5.089832810E2,1.026770782E3
5.100180680E2,1.026770020E3
5.110528730E2,1.026770020E3
5.120876730E2,1.026770401E3
5.131224290E2,1.026771698E3
5.141572520E2,1.026771698E3
5.151920650E2,1.026772537E3
5.162268580E2,1.026773071E3
5.172616140E2,1.026775131E3
5.182963360E2,1.026778717E3
5.193311080E2,1.026785431E3
5.203658940E2,1.026792908E3
5.214006810E2,1.026800690E3
5.224354690E2,1.026806946E3
5.234702240E2,1.026811600E3
5.245049910E2,1.026813278E3
5.255397630E2,1.026814651E3
5.265745550E2,1.026815186E3
5.276093600E2,1.026816330E3
5.286441660E2,1.026817398E3
5.296789610E2,1.026817398E3
5.307137740E2,1.026802139E3
5.317485320E2,1.026764908E3
5.327833360E2,1.026724014E3
5.338181980E2,1.026681213E3
5.348529960E2,1.026619263E3
5.358877790E2,1.026571426E3
5.369225860E2,1.026551666E3
5.379573850E2,1.026533661E3
5.389922160E2,1.026525116E3
5.400271020E2,1.026525116E3
5.410619440E2,1.026535110E3
5.420968000E2,1.026546707E3
5.431316390E2,1.026561356E3
5.441664710E2,1.026579361E3
5.452013390E2,1.026592178E3
5.462362340E2,1.026606750E3
5.472711480E2,1.026618423E3
5.483060170E2,1.026629105E3
5.493408800E2,1.026639175E3
5.503757470E2,1.026650696E3
5.514105920E2,1.026657104E3
5.524454340E2,1.026661835E3
5.534802440E2,1.026664505E3
5.545150520E2,1.026693039E3
5.555498130E2,1.026719818E3
5.565846140E2,1.026746979E3
5.576194330E2,1.026772385E3
5.586542740E2,1.026794357E3
5.596891720E2,1.026794357E3
5.607240750E2,1.026784744E3
5.617589860E2,1.026774902E3
5.627938790E2,1.026765137E3
5.638287700E2,1.026753235E3
5.648636750E2,1.026744385E3
