"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.737343653E2,5.233740914E1,4.889831872E0,2.515493311E0,0.000000000E0,1.302877677E2,4.743190402E0,3.365513608E0
1.747343692E2,5.233740914E1,4.889831872E0,2.515493311E0,0.000000000E0,1.302877677E2,4.742881976E0,3.365948246E0
1.757343739E2,5.233740914E1,4.889831872E0,2.515493311E0,0.000000000E0,1.302877677E2,4.742533926E0,3.366438621E0
1.767343770E2,5.233740914E1,4.889831872E0,2.515493311E0,0.000000000E0,1.302877677E2,4.742149220E0,3.366980518E0
1.777343805E2,5.233740914E1,4.889831872E0,2.515493311E0,0.000000000E0,1.302877677E2,4.742914656E0,3.365902196E0
1.787343838E2,5.233740733E1,4.889840997E0,3.107598255E0,1.254565967E-1,1.302877749E2,4.742702443E0,3.366201207E0
1.797343872E2,5.233740146E1,4.889852597E0,3.238953865E0,8.391944399E-1,1.302877841E2,4.742497643E0,3.366489735E0
1.807343903E2,5.233739071E1,4.889875145E0,3.378403040E0,1.726948622E0,1.302878019E2,4.742131547E0,3.367005409E0
1.817343938E2,5.233737511E1,4.889906546E0,3.489288926E0,2.533928600E0,1.294002566E2,4.738982478E0,3.371436208E0
1.827343966E2,5.233735449E1,4.889948433E0,3.458244658E0,3.467060512E0,1.297171922E2,4.736258914E0,3.375261254E0
1.837343985E2,5.233733010E1,4.889996000E0,3.316932486E0,4.267865074E0,1.298722352E2,4.735486844E0,3.376344382E0
1.847344023E2,5.233730023E1,4.890053768E0,3.507683295E0,5.085288289E0,1.297722178E2,4.735712108E0,3.376028415E0
1.857344043E2,5.233726731E1,4.890118944E0,3.466192536E0,5.849803034E0,1.297918044E2,4.736330452E0,3.375160867E0
1.867344085E2,5.233722711E1,4.890199617E0,3.484345809E0,6.822584363E0,1.297799842E2,4.735634950E0,3.376136647E0
1.877344089E2,5.233718258E1,4.890286545E0,3.535719929E0,7.764775449E0,1.298190248E2,4.735445484E0,3.376402390E0
1.887344111E2,5.233713300E1,4.890388557E0,3.495329513E0,8.825954393E0,1.296684807E2,4.735164935E0,3.376795829E0
1.897344137E2,5.233707833E1,4.890490265E0,3.391708842E0,9.640025069E0,1.298399689E2,4.734587918E0,3.377604815E0
1.907344154E2,5.233701725E1,4.890607017E0,3.558600903E0,1.054696237E1,1.299139319E2,4.733388573E0,3.379285376E0
1.917344172E2,5.233695301E1,4.890733676E0,3.971027105E0,1.132902849E1,1.300625879E2,4.734973778E0,3.377063865E0
1.927344187E2,5.233688627E1,4.890865626E0,4.455784955E0,1.200845195E1,1.299549506E2,4.736953707E0,3.374286089E0
1.937344208E2,5.233681329E1,4.891004914E0,4.741517161E0,1.275214324E1,1.302380014E2,4.737470167E0,3.373560945E0
1.947344236E2,5.233673324E1,4.891148068E0,4.780177049E0,1.343998074E1,1.312048354E2,4.739479992E0,3.370736779E0
1.957344246E2,5.233665280E1,4.891302152E0,5.952611499E0,1.408871810E1,1.316980197E2,4.739225948E0,3.371093954E0
1.967344269E2,5.233656646E1,4.891462710E0,6.467829593E0,1.478889050E1,1.319892260E2,4.739272176E0,3.371028964E0
1.977344286E2,5.233647543E1,4.891630913E0,7.013225837E0,1.541384816E1,1.322129303E2,4.739686507E0,3.370446387E0
1.987344308E2,5.233638275E1,4.891807949E0,7.600174977E0,1.606886797E1,1.322784589E2,4.739419354E0,3.370822039E0
1.997344315E2,5.233628405E1,4.891987737E0,7.390140451E0,1.666884587E1,1.324989298E2,4.737803858E0,3.373092296E0
2.007344329E2,5.233619386E1,4.892191974E0,6.527468064E0,1.725607312E1,1.303583066E2,4.738074615E0,3.372711962E0
2.017344345E2,5.233609716E1,4.892389905E0,5.467625844E0,1.772647482E1,1.292929914E2,4.739423603E0,3.370816066E0
2.027344366E2,5.233599482E1,4.892591554E0,5.184875006E0,1.818260822E1,1.295850466E2,4.740035933E0,3.369954953E0
2.037344377E2,5.233588736E1,4.892798637E0,4.693260686E0,1.870132619E1,1.300979140E2,4.740335669E0,3.369533317E0
2.047344388E2,5.233577698E1,4.893007688E0,4.631721604E0,1.897807062E1,1.305245372E2,4.740570755E0,3.369202569E0
2.057344404E2,5.233566621E1,4.893213405E0,4.508473256E0,1.889030971E1,1.310631246E2,4.740647786E0,3.369094182E0
2.067344410E2,5.233555563E1,4.893420033E0,4.370472840E0,1.879717813E1,1.311904033E2,4.740670628E0,3.369062040E0
2.077344429E2,5.233544522E1,4.893626463E0,4.171067031E0,1.873212792E1,1.311512552E2,4.740712183E0,3.369003566E0
2.087344437E2,5.233533429E1,4.893830556E0,4.007121470E0,1.865386319E1,1.313229080E2,4.740651110E0,3.369089504E0
2.097344459E2,5.233522478E1,4.894036199E0,3.875082414E0,1.857959472E1,1.312649581E2,4.740778310E0,3.368910513E0
